Bus ID,Route,Capacity,Start Times,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,C1,70,5:45,7:04,8:43,10:02,11:21,13:00,,,,,,,,,,,,,,,,,,,,,,
B,C1,70,6:25,7:44,9:23,10:42,12:01,,,,,,,,,,,,,,,,,,,,,,,
C,C2,70,5:25,6:25,7:45,8:45,11:05,12:05,13:05,14:25,15:25,16:25,17:45,18:45,19:45,20:45,22:05,,,,,,,,,,,,,
D,FastCat_1,70,5:55,7:02,8:29,9:36,10:43,11:50,13:17,14:24,15:51,16:58,18:25,19:32,20:39,21:46,22:13,,,,,,,,,,,,,
E,FastCat_2,70,6:32,7:59,9:06,10:13,11:20,12:47,13:54,15:21,16:28,17:55,19:02,20:09,21:16,22:43,,,,,,,,,,,,,,
F,UC,70,6:10,6:50,7:30,8:10,8:50,9:30,10:10,10:50,11:30,12:10,12:50,13:30,14:10,14:50,15:30,16:10,16:50,17:30,18:10,18:50,19:30,,,,,,,
G,G,70,6:25,7:52,8:59,10:06,11:33,12:40,13:47,15:14,16:21,17:28,18:55,20:02,21:09,,,,,,,,,,,,,,,
H,Heritage_B,70,5:40,6:16,6:52,7:48,8:24,9:00,9:36,10:12,10:48,11:24,12:20,12:56,13:32,14:08,14:44,15:20,16:16,16:52,17:28,18:04,18:40,19:16,19:52,20:48,21:24,22:00,22:36,23:32
I,Heritage_G,70,5:58,6:34,7:10,8:06,8:42,9:18,9:54,10:30,11:06,11:42,12:38,13:14,13:50,14:26,15:02,15:38,16:34,17:10,17:46,18:22,18:58,19:34,20:10,21:06,21:42,22:18,22:54,23:50
